Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,1u,C5189821
"D1, D2, D3, D4, D5",DIODFN4_100X100X35L29X29N,5,LED_ARBG,
,,,,
"R1, R5",0603,2,5k1,C191782
R2,0603,1,5.2k,C191782
R3,0603,1,1.1k,C2930017
R4,0603,1,180R,C2907110
"R6, R7, R8",0603,3,10k,C2930027
U1,SOT-23-5,1,MIC5504-3.3YM5,C3021093
U3,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,C2838502
USB-C1,USB2.0_TYPE-C(A40-00119-A52-12),1,USB-C-16P-F(A40-00119-A52-12),C2765186
"s1, s2",TS-1177-C-B-B,2,BUTTON_4PIN_TS_1177,C561512
