C1:1
C2:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
D3:1
D4:1
D5:1
H1:1
H2:1
H3:1
J1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
U1:1
U3:1
U5:1
USB-C1:1
s1:1
s2:1
s4:1
s6:1
s8:1
