Ref,Val,Package,PosX,PosY,Rot,Side
"s4","BUTTON_4PIN_TS_1177","TS-1177-C-B-B",17.100000,22.500000,180.000000,bottom
"s6","BUTTON_4PIN_TS_1177","TS-1177-C-B-B",17.100000,32.500000,180.000000,bottom
"s8","BUTTON_4PIN_TS_1177","TS-1177-C-B-B",17.100000,42.500000,180.000000,bottom
