Comment,Designator,Footprint,JLCPCB Part#
5K1,R1,R_0603_1608Metric,C191782
5K1,R2,R_0603_1608Metric,C191782
1K1,R3,R_0603_1608Metric,C2930017
180R,R4,R_0603_1608Metric,C2907110
5K1,R5,R_0603_1608Metric,C191782
1U,C1,C_0603_1608Metric,C5189821
1U,C2,C_0603_1608Metric,C5189821
MIC5504,U1,SOT-23-5,C3021093
ESP32-C3-MINI,U2,ESP32-C3-MINI,C2838502
USBC,USB-C1,USB2.0_TYPE-C(A40-00119-A52-12),C2765186
